store_id,category_id,month_start,units_sold,year,month,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_mean_6
1,2,2016-03-01,3,2016,3,8.0,4.0,,,6.0,6.0
1,3,2016-03-01,19,2016,3,19.0,14.0,,,16.5,16.5
1,4,2016-03-01,2,2016,3,4.0,6.0,,,5.0,5.0
1,5,2016-03-01,3,2016,3,2.0,5.0,,,3.5,3.5
1,6,2016-03-01,17,2016,3,8.0,22.0,,,15.0,15.0
1,7,2016-03-01,0,2016,3,0.0,0.0,,,0.0,0.0
2,1,2016-03-01,19,2016,3,31.0,24.0,,,27.5,27.5
2,2,2016-03-01,20,2016,3,28.0,12.0,,,20.0,20.0
2,3,2016-03-01,58,2016,3,49.0,66.0,,,57.5,57.5
2,4,2016-03-01,8,2016,3,8.0,10.0,,,9.0,9.0
2,5,2016-03-01,6,2016,3,2.0,3.0,,,2.5,2.5
2,6,2016-03-01,36,2016,3,29.0,40.0,,,34.5,34.5
2,7,2016-03-01,0,2016,3,0.0,0.0,,,0.0,0.0
3,1,2016-03-01,2,2016,3,6.0,0.0,,,3.0,3.0
3,2,2016-03-01,2,2016,3,2.0,2.0,,,2.0,2.0
3,3,2016-03-01,8,2016,3,4.0,2.0,,,3.0,3.0
3,4,2016-03-01,0,2016,3,0.0,2.0,,,1.0,1.0
3,5,2016-03-01,0,2016,3,0.0,2.0,,,1.0,1.0
3,6,2016-03-01,8,2016,3,7.0,1.0,,,4.0,4.0
3,7,2016-03-01,0,2016,3,0.0,0.0,,,0.0,0.0
1,1,2016-04-01,6,2016,4,2.0,8.0,6.0,,5.333333333333333,5.333333333333333
1,2,2016-04-01,3,2016,4,3.0,8.0,4.0,,5.0,5.0
1,3,2016-04-01,18,2016,4,19.0,19.0,14.0,,17.333333333333332,17.333333333333332
1,4,2016-04-01,4,2016,4,2.0,4.0,6.0,,4.0,4.0
1,5,2016-04-01,0,2016,4,3.0,2.0,5.0,,3.3333333333333335,3.3333333333333335
1,6,2016-04-01,11,2016,4,17.0,8.0,22.0,,15.666666666666666,15.666666666666666
1,7,2016-04-01,0,2016,4,0.0,0.0,0.0,,0.0,0.0
2,1,2016-04-01,11,2016,4,19.0,31.0,24.0,,24.666666666666668,24.666666666666668
2,2,2016-04-01,12,2016,4,20.0,28.0,12.0,,20.0,20.0
2,3,2016-04-01,44,2016,4,58.0,49.0,66.0,,57.666666666666664,57.666666666666664
2,4,2016-04-01,19,2016,4,8.0,8.0,10.0,,8.666666666666666,8.666666666666666
2,5,2016-04-01,0,2016,4,6.0,2.0,3.0,,3.6666666666666665,3.6666666666666665
2,6,2016-04-01,38,2016,4,36.0,29.0,40.0,,35.0,35.0
2,7,2016-04-01,0,2016,4,0.0,0.0,0.0,,0.0,0.0
3,1,2016-04-01,0,2016,4,2.0,6.0,0.0,,2.6666666666666665,2.6666666666666665
3,2,2016-04-01,0,2016,4,2.0,2.0,2.0,,2.0,2.0
3,3,2016-04-01,4,2016,4,8.0,4.0,2.0,,4.666666666666667,4.666666666666667
3,4,2016-04-01,0,2016,4,0.0,0.0,2.0,,0.6666666666666666,0.6666666666666666
3,5,2016-04-01,0,2016,4,0.0,0.0,2.0,,0.6666666666666666,0.6666666666666666
3,6,2016-04-01,3,2016,4,8.0,7.0,1.0,,5.333333333333333,5.333333333333333
3,7,2016-04-01,0,2016,4,0.0,0.0,0.0,,0.0,0.0
1,1,2016-05-01,3,2016,5,6.0,2.0,8.0,,5.333333333333333,5.5
1,2,2016-05-01,6,2016,5,3.0,3.0,8.0,,4.666666666666667,4.5
1,3,2016-05-01,6,2016,5,18.0,19.0,19.0,,18.666666666666668,17.5
1,4,2016-05-01,8,2016,5,4.0,2.0,4.0,,3.3333333333333335,4.0
1,5,2016-05-01,1,2016,5,0.0,3.0,2.0,,1.6666666666666667,2.5
1,6,2016-05-01,6,2016,5,11.0,17.0,8.0,,12.0,14.5
1,7,2016-05-01,0,2016,5,0.0,0.0,0.0,,0.0,0.0
2,1,2016-05-01,18,2016,5,11.0,19.0,31.0,,20.333333333333332,21.25
2,2,2016-05-01,15,2016,5,12.0,20.0,28.0,,20.0,18.0
2,3,2016-05-01,57,2016,5,44.0,58.0,49.0,,50.333333333333336,54.25
2,4,2016-05-01,14,2016,5,19.0,8.0,8.0,,11.666666666666666,11.25
2,5,2016-05-01,2,2016,5,0.0,6.0,2.0,,2.6666666666666665,2.75
2,6,2016-05-01,58,2016,5,38.0,36.0,29.0,,34.333333333333336,35.75
2,7,2016-05-01,0,2016,5,0.0,0.0,0.0,,0.0,0.0
3,1,2016-05-01,0,2016,5,0.0,2.0,6.0,,2.6666666666666665,2.0
3,2,2016-05-01,5,2016,5,0.0,2.0,2.0,,1.3333333333333333,1.5
3,3,2016-05-01,11,2016,5,4.0,8.0,4.0,,5.333333333333333,4.5
3,4,2016-05-01,0,2016,5,0.0,0.0,0.0,,0.0,0.5
3,5,2016-05-01,0,2016,5,0.0,0.0,0.0,,0.0,0.5
3,6,2016-05-01,5,2016,5,3.0,8.0,7.0,,6.0,4.75
3,7,2016-05-01,0,2016,5,0.0,0.0,0.0,,0.0,0.0
1,1,2016-06-01,5,2016,6,3.0,6.0,2.0,,3.6666666666666665,5.0
1,2,2016-06-01,1,2016,6,6.0,3.0,3.0,,4.0,4.8
1,3,2016-06-01,17,2016,6,6.0,18.0,19.0,,14.333333333333334,15.2
1,4,2016-06-01,4,2016,6,8.0,4.0,2.0,,4.666666666666667,4.8
1,5,2016-06-01,2,2016,6,1.0,0.0,3.0,,1.3333333333333333,2.2
1,6,2016-06-01,8,2016,6,6.0,11.0,17.0,,11.333333333333334,12.8
1,7,2016-06-01,0,2016,6,0.0,0.0,0.0,,0.0,0.0
2,1,2016-06-01,18,2016,6,18.0,11.0,19.0,,16.0,20.6
2,2,2016-06-01,18,2016,6,15.0,12.0,20.0,,15.666666666666666,17.4
2,3,2016-06-01,29,2016,6,57.0,44.0,58.0,,53.0,54.8
2,4,2016-06-01,13,2016,6,14.0,19.0,8.0,,13.666666666666666,11.8
2,5,2016-06-01,7,2016,6,2.0,0.0,6.0,,2.6666666666666665,2.6
2,6,2016-06-01,51,2016,6,58.0,38.0,36.0,,44.0,40.2
2,7,2016-06-01,0,2016,6,0.0,0.0,0.0,,0.0,0.0
3,1,2016-06-01,0,2016,6,0.0,0.0,2.0,,0.6666666666666666,1.6
3,2,2016-06-01,0,2016,6,5.0,0.0,2.0,,2.3333333333333335,2.2
3,3,2016-06-01,6,2016,6,11.0,4.0,8.0,,7.666666666666667,5.8
3,4,2016-06-01,4,2016,6,0.0,0.0,0.0,,0.0,0.4
3,5,2016-06-01,2,2016,6,0.0,0.0,0.0,,0.0,0.4
3,6,2016-06-01,7,2016,6,5.0,3.0,8.0,,5.333333333333333,4.8
3,7,2016-06-01,0,2016,6,0.0,0.0,0.0,,0.0,0.0
1,1,2016-07-01,3,2016,7,5.0,3.0,6.0,,4.666666666666667,5.0
1,2,2016-07-01,0,2016,7,1.0,6.0,3.0,,3.3333333333333335,4.166666666666667
1,3,2016-07-01,2,2016,7,17.0,6.0,18.0,,13.666666666666666,15.5
1,4,2016-07-01,3,2016,7,4.0,8.0,4.0,,5.333333333333333,4.666666666666667
1,5,2016-07-01,1,2016,7,2.0,1.0,0.0,,1.0,2.1666666666666665
1,6,2016-07-01,8,2016,7,8.0,6.0,11.0,,8.333333333333334,12.0
1,7,2016-07-01,0,2016,7,0.0,0.0,0.0,,0.0,0.0
2,1,2016-07-01,18,2016,7,18.0,18.0,11.0,,15.666666666666666,20.166666666666668
2,2,2016-07-01,20,2016,7,18.0,15.0,12.0,,15.0,17.5
2,3,2016-07-01,70,2016,7,29.0,57.0,44.0,,43.333333333333336,50.5
2,4,2016-07-01,19,2016,7,13.0,14.0,19.0,,15.333333333333334,12.0
2,5,2016-07-01,8,2016,7,7.0,2.0,0.0,,3.0,3.3333333333333335
2,6,2016-07-01,47,2016,7,51.0,58.0,38.0,,49.0,42.0
2,7,2016-07-01,0,2016,7,0.0,0.0,0.0,,0.0,0.0
3,1,2016-07-01,3,2016,7,0.0,0.0,0.0,,0.0,1.3333333333333333
3,2,2016-07-01,0,2016,7,0.0,5.0,0.0,,1.6666666666666667,1.8333333333333333
3,3,2016-07-01,3,2016,7,6.0,11.0,4.0,,7.0,5.833333333333333
3,4,2016-07-01,2,2016,7,4.0,0.0,0.0,,1.3333333333333333,1.0
3,5,2016-07-01,1,2016,7,2.0,0.0,0.0,,0.6666666666666666,0.6666666666666666
3,6,2016-07-01,3,2016,7,7.0,5.0,3.0,,5.0,5.166666666666667
3,7,2016-07-01,0,2016,7,0.0,0.0,0.0,,0.0,0.0
1,1,2016-08-01,5,2016,8,3.0,5.0,3.0,,3.6666666666666665,4.5
1,2,2016-08-01,4,2016,8,0.0,1.0,6.0,,2.3333333333333335,3.5
1,3,2016-08-01,13,2016,8,2.0,17.0,6.0,,8.333333333333334,13.5
1,4,2016-08-01,5,2016,8,3.0,4.0,8.0,,5.0,4.166666666666667
1,5,2016-08-01,1,2016,8,1.0,2.0,1.0,,1.3333333333333333,1.5
1,6,2016-08-01,12,2016,8,8.0,8.0,6.0,,7.333333333333333,9.666666666666666
1,7,2016-08-01,0,2016,8,0.0,0.0,0.0,,0.0,0.0
2,1,2016-08-01,23,2016,8,18.0,18.0,18.0,,18.0,19.166666666666668
2,2,2016-08-01,24,2016,8,20.0,18.0,15.0,,17.666666666666668,18.833333333333332
2,3,2016-08-01,43,2016,8,70.0,29.0,57.0,,52.0,51.166666666666664
2,4,2016-08-01,15,2016,8,19.0,13.0,14.0,,15.333333333333334,13.5
2,5,2016-08-01,6,2016,8,8.0,7.0,2.0,,5.666666666666667,4.166666666666667
2,6,2016-08-01,46,2016,8,47.0,51.0,58.0,,52.0,43.166666666666664
2,7,2016-08-01,0,2016,8,0.0,0.0,0.0,,0.0,0.0
3,1,2016-08-01,7,2016,8,3.0,0.0,0.0,,1.0,1.8333333333333333
3,2,2016-08-01,2,2016,8,0.0,0.0,5.0,,1.6666666666666667,1.5
3,3,2016-08-01,20,2016,8,3.0,6.0,11.0,,6.666666666666667,6.0
3,4,2016-08-01,1,2016,8,2.0,4.0,0.0,,2.0,1.0
3,5,2016-08-01,1,2016,8,1.0,2.0,0.0,,1.0,0.5
3,6,2016-08-01,6,2016,8,3.0,7.0,5.0,,5.0,5.5
3,7,2016-08-01,0,2016,8,0.0,0.0,0.0,,0.0,0.0
1,1,2016-09-01,4,2016,9,5.0,3.0,5.0,,4.333333333333333,4.0
1,2,2016-09-01,10,2016,9,4.0,0.0,1.0,,1.6666666666666667,2.8333333333333335
1,3,2016-09-01,28,2016,9,13.0,2.0,17.0,,10.666666666666666,12.5
1,4,2016-09-01,6,2016,9,5.0,3.0,4.0,,4.0,4.333333333333333
1,5,2016-09-01,2,2016,9,1.0,1.0,2.0,,1.3333333333333333,1.3333333333333333
1,6,2016-09-01,22,2016,9,12.0,8.0,8.0,,9.333333333333334,10.333333333333334
1,7,2016-09-01,0,2016,9,0.0,0.0,0.0,,0.0,0.0
2,1,2016-09-01,21,2016,9,23.0,18.0,18.0,,19.666666666666668,17.833333333333332
2,2,2016-09-01,21,2016,9,24.0,20.0,18.0,,20.666666666666668,18.166666666666668
2,3,2016-09-01,52,2016,9,43.0,70.0,29.0,,47.333333333333336,50.166666666666664
2,4,2016-09-01,9,2016,9,15.0,19.0,13.0,,15.666666666666666,14.666666666666666
2,5,2016-09-01,5,2016,9,6.0,8.0,7.0,,7.0,4.833333333333333
2,6,2016-09-01,60,2016,9,46.0,47.0,51.0,,48.0,46.0
2,7,2016-09-01,0,2016,9,0.0,0.0,0.0,,0.0,0.0
3,1,2016-09-01,7,2016,9,7.0,3.0,0.0,,3.3333333333333335,2.0
3,2,2016-09-01,0,2016,9,2.0,0.0,0.0,,0.6666666666666666,1.5
3,3,2016-09-01,13,2016,9,20.0,3.0,6.0,,9.666666666666666,8.666666666666666
3,4,2016-09-01,3,2016,9,1.0,2.0,4.0,,2.3333333333333335,1.1666666666666667
3,5,2016-09-01,2,2016,9,1.0,1.0,2.0,,1.3333333333333333,0.6666666666666666
3,6,2016-09-01,14,2016,9,6.0,3.0,7.0,,5.333333333333333,5.333333333333333
3,7,2016-09-01,0,2016,9,0.0,0.0,0.0,,0.0,0.0
1,1,2016-10-01,8,2016,10,4.0,5.0,3.0,,4.0,4.333333333333333
1,2,2016-10-01,10,2016,10,10.0,4.0,0.0,,4.666666666666667,4.0
1,3,2016-10-01,30,2016,10,28.0,13.0,2.0,,14.333333333333334,14.0
1,4,2016-10-01,10,2016,10,6.0,5.0,3.0,,4.666666666666667,5.0
1,5,2016-10-01,8,2016,10,2.0,1.0,1.0,,1.3333333333333333,1.1666666666666667
1,6,2016-10-01,14,2016,10,22.0,12.0,8.0,,14.0,11.166666666666666
1,7,2016-10-01,0,2016,10,0.0,0.0,0.0,,0.0,0.0
2,1,2016-10-01,36,2016,10,21.0,23.0,18.0,,20.666666666666668,18.166666666666668
2,2,2016-10-01,20,2016,10,21.0,24.0,20.0,,21.666666666666668,18.333333333333332
2,3,2016-10-01,48,2016,10,52.0,43.0,70.0,,55.0,49.166666666666664
2,4,2016-10-01,9,2016,10,9.0,15.0,19.0,,14.333333333333334,14.833333333333334
2,5,2016-10-01,5,2016,10,5.0,6.0,8.0,,6.333333333333333,4.666666666666667
2,6,2016-10-01,39,2016,10,60.0,46.0,47.0,,51.0,50.0
2,7,2016-10-01,0,2016,10,0.0,0.0,0.0,,0.0,0.0
3,1,2016-10-01,2,2016,10,7.0,7.0,3.0,,5.666666666666667,2.8333333333333335
3,2,2016-10-01,2,2016,10,0.0,2.0,0.0,,0.6666666666666666,1.1666666666666667
3,3,2016-10-01,8,2016,10,13.0,20.0,3.0,,12.0,9.5
3,4,2016-10-01,0,2016,10,3.0,1.0,2.0,,2.0,1.6666666666666667
3,5,2016-10-01,2,2016,10,2.0,1.0,1.0,,1.3333333333333333,1.0
3,6,2016-10-01,3,2016,10,14.0,6.0,3.0,,7.666666666666667,6.333333333333333
3,7,2016-10-01,0,2016,10,0.0,0.0,0.0,,0.0,0.0
1,1,2016-11-01,9,2016,11,8.0,4.0,5.0,,5.666666666666667,4.666666666666667
1,2,2016-11-01,4,2016,11,10.0,10.0,4.0,,8.0,5.166666666666667
1,3,2016-11-01,8,2016,11,30.0,28.0,13.0,,23.666666666666668,16.0
1,4,2016-11-01,1,2016,11,10.0,6.0,5.0,,7.0,6.0
1,5,2016-11-01,5,2016,11,8.0,2.0,1.0,,3.6666666666666665,2.5
1,6,2016-11-01,15,2016,11,14.0,22.0,12.0,,16.0,11.666666666666666
1,7,2016-11-01,0,2016,11,0.0,0.0,0.0,,0.0,0.0
2,1,2016-11-01,10,2016,11,36.0,21.0,23.0,,26.666666666666668,22.333333333333332
2,2,2016-11-01,19,2016,11,20.0,21.0,24.0,,21.666666666666668,19.666666666666668
2,3,2016-11-01,44,2016,11,48.0,52.0,43.0,,47.666666666666664,49.833333333333336
2,4,2016-11-01,12,2016,11,9.0,9.0,15.0,,11.0,13.166666666666666
2,5,2016-11-01,7,2016,11,5.0,5.0,6.0,,5.333333333333333,5.5
2,6,2016-11-01,21,2016,11,39.0,60.0,46.0,,48.333333333333336,50.166666666666664
2,7,2016-11-01,0,2016,11,0.0,0.0,0.0,,0.0,0.0
3,1,2016-11-01,0,2016,11,2.0,7.0,7.0,,5.333333333333333,3.1666666666666665
3,2,2016-11-01,4,2016,11,2.0,0.0,2.0,,1.3333333333333333,1.5
3,3,2016-11-01,6,2016,11,8.0,13.0,20.0,,13.666666666666666,10.166666666666666
3,4,2016-11-01,2,2016,11,0.0,3.0,1.0,,1.3333333333333333,1.6666666666666667
3,5,2016-11-01,1,2016,11,2.0,2.0,1.0,,1.6666666666666667,1.3333333333333333
3,6,2016-11-01,7,2016,11,3.0,14.0,6.0,,7.666666666666667,6.333333333333333
3,7,2016-11-01,0,2016,11,0.0,0.0,0.0,,0.0,0.0
1,1,2016-12-01,9,2016,12,9.0,8.0,4.0,,7.0,5.666666666666667
1,2,2016-12-01,7,2016,12,4.0,10.0,10.0,,8.0,4.833333333333333
1,3,2016-12-01,12,2016,12,8.0,30.0,28.0,,22.0,16.333333333333332
1,4,2016-12-01,3,2016,12,1.0,10.0,6.0,,5.666666666666667,4.833333333333333
1,5,2016-12-01,1,2016,12,5.0,8.0,2.0,,5.0,3.1666666666666665
1,6,2016-12-01,13,2016,12,15.0,14.0,22.0,,17.0,13.166666666666666
1,7,2016-12-01,0,2016,12,0.0,0.0,0.0,,0.0,0.0
2,1,2016-12-01,19,2016,12,10.0,36.0,21.0,,22.333333333333332,21.0
2,2,2016-12-01,17,2016,12,19.0,20.0,21.0,,20.0,20.333333333333332
2,3,2016-12-01,61,2016,12,44.0,48.0,52.0,,48.0,47.666666666666664
2,4,2016-12-01,19,2016,12,12.0,9.0,9.0,,10.0,12.833333333333334
2,5,2016-12-01,10,2016,12,7.0,5.0,5.0,,5.666666666666667,6.333333333333333
2,6,2016-12-01,29,2016,12,21.0,39.0,60.0,,40.0,44.0
2,7,2016-12-01,0,2016,12,0.0,0.0,0.0,,0.0,0.0
3,1,2016-12-01,3,2016,12,0.0,2.0,7.0,,3.0,3.1666666666666665
3,2,2016-12-01,2,2016,12,4.0,2.0,0.0,,2.0,1.3333333333333333
3,3,2016-12-01,6,2016,12,6.0,8.0,13.0,,9.0,9.333333333333334
3,4,2016-12-01,3,2016,12,2.0,0.0,3.0,,1.6666666666666667,2.0
3,5,2016-12-01,0,2016,12,1.0,2.0,2.0,,1.6666666666666667,1.5
3,6,2016-12-01,6,2016,12,7.0,3.0,14.0,,8.0,6.666666666666667
3,7,2016-12-01,0,2016,12,0.0,0.0,0.0,,0.0,0.0
1,1,2017-01-01,14,2017,1,9.0,9.0,8.0,6.0,8.666666666666666,6.333333333333333
1,2,2017-01-01,5,2017,1,7.0,4.0,10.0,4.0,7.0,5.833333333333333
1,3,2017-01-01,15,2017,1,12.0,8.0,30.0,14.0,16.666666666666668,15.5
1,4,2017-01-01,3,2017,1,3.0,1.0,10.0,6.0,4.666666666666667,4.666666666666667
1,5,2017-01-01,0,2017,1,1.0,5.0,8.0,5.0,4.666666666666667,3.0
1,6,2017-01-01,9,2017,1,13.0,15.0,14.0,22.0,14.0,14.0
1,7,2017-01-01,7,2017,1,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2017-01-01,29,2017,1,19.0,10.0,36.0,24.0,21.666666666666668,21.166666666666668
2,2,2017-01-01,29,2017,1,17.0,19.0,20.0,12.0,18.666666666666668,20.166666666666668
2,3,2017-01-01,20,2017,1,61.0,44.0,48.0,66.0,51.0,53.0
2,4,2017-01-01,3,2017,1,19.0,12.0,9.0,10.0,13.333333333333334,13.833333333333334
2,5,2017-01-01,11,2017,1,10.0,7.0,5.0,3.0,7.333333333333333,6.833333333333333
2,6,2017-01-01,41,2017,1,29.0,21.0,39.0,40.0,29.666666666666668,40.333333333333336
2,7,2017-01-01,24,2017,1,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2017-01-01,1,2017,1,3.0,0.0,2.0,0.0,1.6666666666666667,3.6666666666666665
3,2,2017-01-01,1,2017,1,2.0,4.0,2.0,2.0,2.6666666666666665,1.6666666666666667
3,3,2017-01-01,7,2017,1,6.0,6.0,8.0,2.0,6.666666666666667,9.333333333333334
3,4,2017-01-01,2,2017,1,3.0,2.0,0.0,2.0,1.6666666666666667,1.8333333333333333
3,5,2017-01-01,0,2017,1,0.0,1.0,2.0,2.0,1.0,1.1666666666666667
3,6,2017-01-01,4,2017,1,6.0,7.0,3.0,1.0,5.333333333333333,6.5
3,7,2017-01-01,4,2017,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2017-02-01,7,2017,2,14.0,9.0,9.0,8.0,10.666666666666666,8.166666666666666
1,2,2017-02-01,8,2017,2,5.0,7.0,4.0,8.0,5.333333333333333,6.666666666666667
1,3,2017-02-01,4,2017,2,15.0,12.0,8.0,19.0,11.666666666666666,17.666666666666668
1,4,2017-02-01,3,2017,2,3.0,3.0,1.0,4.0,2.3333333333333335,4.666666666666667
1,5,2017-02-01,1,2017,2,0.0,1.0,5.0,2.0,2.0,2.8333333333333335
1,6,2017-02-01,16,2017,2,9.0,13.0,15.0,8.0,12.333333333333334,14.166666666666666
1,7,2017-02-01,4,2017,2,7.0,0.0,0.0,0.0,2.3333333333333335,1.1666666666666667
2,1,2017-02-01,34,2017,2,29.0,19.0,10.0,31.0,19.333333333333332,23.0
2,2,2017-02-01,19,2017,2,29.0,17.0,19.0,28.0,21.666666666666668,21.666666666666668
2,3,2017-02-01,32,2017,2,20.0,61.0,44.0,49.0,41.666666666666664,44.666666666666664
2,4,2017-02-01,11,2017,2,3.0,19.0,12.0,8.0,11.333333333333334,11.166666666666666
2,5,2017-02-01,3,2017,2,11.0,10.0,7.0,2.0,9.333333333333334,7.333333333333333
2,6,2017-02-01,37,2017,2,41.0,29.0,21.0,29.0,30.333333333333332,39.333333333333336
2,7,2017-02-01,20,2017,2,24.0,0.0,0.0,0.0,8.0,4.0
3,1,2017-02-01,11,2017,2,1.0,3.0,0.0,6.0,1.3333333333333333,3.3333333333333335
3,2,2017-02-01,9,2017,2,1.0,2.0,4.0,2.0,2.3333333333333335,1.8333333333333333
3,3,2017-02-01,14,2017,2,7.0,6.0,6.0,4.0,6.333333333333333,10.0
3,4,2017-02-01,0,2017,2,2.0,3.0,2.0,0.0,2.3333333333333335,1.8333333333333333
3,5,2017-02-01,0,2017,2,0.0,0.0,1.0,0.0,0.3333333333333333,1.0
3,6,2017-02-01,11,2017,2,4.0,6.0,7.0,7.0,5.666666666666667,6.666666666666667
3,7,2017-02-01,6,2017,2,4.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666
1,1,2017-03-01,14,2017,3,7.0,14.0,9.0,2.0,10.0,8.5
1,2,2017-03-01,5,2017,3,8.0,5.0,7.0,3.0,6.666666666666667,7.333333333333333
1,3,2017-03-01,13,2017,3,4.0,15.0,12.0,19.0,10.333333333333334,16.166666666666668
1,4,2017-03-01,1,2017,3,3.0,3.0,3.0,2.0,3.0,4.333333333333333
1,5,2017-03-01,0,2017,3,1.0,0.0,1.0,3.0,0.6666666666666666,2.8333333333333335
1,6,2017-03-01,17,2017,3,16.0,9.0,13.0,17.0,12.666666666666666,14.833333333333334
1,7,2017-03-01,6,2017,3,4.0,7.0,0.0,0.0,3.6666666666666665,1.8333333333333333
2,1,2017-03-01,44,2017,3,34.0,29.0,19.0,19.0,27.333333333333332,24.833333333333332
2,2,2017-03-01,13,2017,3,19.0,29.0,17.0,20.0,21.666666666666668,20.833333333333332
2,3,2017-03-01,49,2017,3,32.0,20.0,61.0,58.0,37.666666666666664,42.833333333333336
2,4,2017-03-01,8,2017,3,11.0,3.0,19.0,8.0,11.0,10.5
2,5,2017-03-01,4,2017,3,3.0,11.0,10.0,6.0,8.0,6.833333333333333
2,6,2017-03-01,63,2017,3,37.0,41.0,29.0,36.0,35.666666666666664,37.833333333333336
2,7,2017-03-01,18,2017,3,20.0,24.0,0.0,0.0,14.666666666666666,7.333333333333333
3,1,2017-03-01,8,2017,3,11.0,1.0,3.0,2.0,5.0,4.0
3,2,2017-03-01,6,2017,3,9.0,1.0,2.0,2.0,4.0,3.0
3,3,2017-03-01,11,2017,3,14.0,7.0,6.0,8.0,9.0,9.0
3,4,2017-03-01,2,2017,3,0.0,2.0,3.0,0.0,1.6666666666666667,1.6666666666666667
3,5,2017-03-01,0,2017,3,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
3,6,2017-03-01,7,2017,3,11.0,4.0,6.0,8.0,7.0,7.5
3,7,2017-03-01,5,2017,3,6.0,4.0,0.0,0.0,3.3333333333333335,1.6666666666666667
1,1,2017-04-01,8,2017,4,14.0,7.0,14.0,6.0,11.666666666666666,10.166666666666666
1,2,2017-04-01,5,2017,4,5.0,8.0,5.0,3.0,6.0,6.5
1,3,2017-04-01,3,2017,4,13.0,4.0,15.0,18.0,10.666666666666666,13.666666666666666
1,4,2017-04-01,0,2017,4,1.0,3.0,3.0,4.0,2.3333333333333335,3.5
1,5,2017-04-01,0,2017,4,0.0,1.0,0.0,0.0,0.3333333333333333,2.5
1,6,2017-04-01,4,2017,4,17.0,16.0,9.0,11.0,14.0,14.0
1,7,2017-04-01,3,2017,4,6.0,4.0,7.0,0.0,5.666666666666667,2.8333333333333335
2,1,2017-04-01,41,2017,4,44.0,34.0,29.0,11.0,35.666666666666664,28.666666666666668
2,2,2017-04-01,26,2017,4,13.0,19.0,29.0,12.0,20.333333333333332,19.5
2,3,2017-04-01,62,2017,4,49.0,32.0,20.0,44.0,33.666666666666664,42.333333333333336
2,4,2017-04-01,6,2017,4,8.0,11.0,3.0,19.0,7.333333333333333,10.333333333333334
2,5,2017-04-01,3,2017,4,4.0,3.0,11.0,0.0,6.0,6.666666666666667
2,6,2017-04-01,39,2017,4,63.0,37.0,41.0,38.0,47.0,38.333333333333336
2,7,2017-04-01,14,2017,4,18.0,20.0,24.0,0.0,20.666666666666668,10.333333333333334
